SPPTleID	FilePath	FileSize	experiment_name	experiment_id	vendor	target_gene	owner	date	email
S10001	File1=/vordemo/S10001	50	PPT	AXX1001-001	GeneVendor1	GeneA	George Baker	1/1/20	compbioteam@vorbio.com
S10002	File1=/vordemo/S10002	70	PPT	AXX1001-001	GeneVendor1	GeneA	George Baker	1/1/20	compbioteam@vorbio.com
S10003	File1=/vordemo/S10003	69	PPT	AXX1001-001	GeneVendor1	GeneB	George Baker	1/1/20	compbioteam@vorbio.com
S10004	File1=/vordemo/S10004	93	PPT	AXX1001-001	GeneVendor1	GeneC	George Baker	1/1/20	compbioteam@vorbio.com
S10005	File1=/vordemo/S10005	61	PPT	AXX1002-001	GeneVendor1	GeneA	George Baker	2/1/20	compbioteam@vorbio.com
S10006	File1=/vordemo/S10006	86	PPT	AXX1002-001	GeneVendor1	GeneA	George Baker	2/1/20	compbioteam@vorbio.com
S10007	File1=/vordemo/S10007	50	PPT	AXX1002-001	GeneVendor1	GeneB	George Baker	2/1/20	compbioteam@vorbio.com
S10008	File1=/vordemo/S10008	68	PPT	AXX1002-001	GeneVendor1	GeneC	George Baker	2/1/20	compbioteam@vorbio.com
S10009	File1=/vordemo/S10009	75	PPT	AXX1002-001	GeneVendor1	GeneA	George Baker	2/1/20	compbioteam@vorbio.com
S10010	File1=/vordemo/S10010	66	PPT	AXX1002-001	GeneVendor1	GeneA	George Baker	2/1/20	compbioteam@vorbio.com
S10011	File1=/vordemo/S10011	83	PPT	AXX1002-001	GeneVendor1	GeneB	George Baker	2/1/20	compbioteam@vorbio.com
S10012	File1=/vordemo/S10012	89	PPT	AXX1002-001	GeneVendor1	GeneC	George Baker	2/1/20	compbioteam@vorbio.com
S10013	File1=/vordemo/S10013	67	PPT	AXX1002-001	GeneVendor1	GeneA	George Baker	2/1/20	compbioteam@vorbio.com
S10014	File1=/vordemo/S10014	61	PPT	AXX1002-001	GeneVendor1	GeneA	George Baker	2/1/20	compbioteam@vorbio.com
S10015	File1=/vordemo/S10015	60	PPT	AXX1002-001	GeneVendor1	GeneB	George Baker	2/1/20	compbioteam@vorbio.com
S10016	File1=/vordemo/S10016	75	PPT	AXX1002-001	GeneVendor1	GeneC	George Baker	2/1/20	compbioteam@vorbio.com
S10017	File1=/vordemo/S10017	76	PPT	AXX1003-001	GeneVendor1	GeneA	George Baker	3/1/20	compbioteam@vorbio.com
S10018	File1=/vordemo/S10018	56	PPT	AXX1003-001	GeneVendor1	GeneA	George Baker	3/1/20	compbioteam@vorbio.com
S10019	File1=/vordemo/S10019	98	PPT	AXX1003-001	GeneVendor1	GeneB	George Baker	3/1/20	compbioteam@vorbio.com
S10020	File1=/vordemo/S10020	77	PPT	AXX1003-001	GeneVendor1	GeneC	George Baker	3/1/20	compbioteam@vorbio.com
